id,mentioned_id,mentioned_screen_name
1005298810627678209,393190233,LeahR77
1005564179179233280,822215679726100480,POTUS
1005564179179233280,2779389582,SteveHiltonx
1005205054410801152,60993405,williamjordann
1004915424482545664,738153522277945344,dawg_lb
1004915424482545664,23083404,KingJames
1005740688947007488,2282338914,GhassanDream
1005740688947007488,1353802260,Presidency_Sy
1005299884373741568,23083404,KingJames
1005089825232441345,179242141,WillHillRacing
1005251844556259329,920021135231553536,USAHotLips
1005251844556259329,948640112929370113,MAGAKrissy
1005251844556259329,1936536769,phil200269
1005251844556259329,2922345639,DonnaWR8
1005251844556259329,393190233,LeahR77
1005251844556259329,874636442290577410,grizz_meister
1005251844556259329,772204864654942208,Patriotic_Va
1005251844556259329,1135414069,_Last_1_Left_
1005251844556259329,757078971590651904,RubyRockstar333
1004832581051826177,19877186,chelseahandler
1004459433936740352,179242141,WillHillRacing
1004882460465860609,954124423,AmyMek
1004882460465860609,203060129,CAIRNational
1004680075315499008,7702542,DLoesch
1004732161830858753,2231905548,DailySabah
1004732161830858753,19397942,SadiqKhan
1004966150575460353,123641573,ecesevimm
1005038604727607296,2489431314,MirwaizKashmir
1005527505279676416,21148293,kathygriffin
1005231666674089984,822215679726100480,POTUS
1005231666674089984,25073877,realDonaldTrump
1005231666674089984,818910970567344128,VP
1005231666674089984,1074480192,SenTedCruz
1005231666674089984,14344823,SenateGOP
1005231666674089984,38495835,marklevinshow
1005231666674089984,41634520,seanhannity
1004496260848644097,3669513435,SydneyJasper
1005530083887464448,869619261840535554,Celticanz
1005530083887464448,21148293,kathygriffin
1005530083887464448,1114631166,ConservaMomUSA
1005530083887464448,1931084401,RuthieRedSox
1005530083887464448,874636442290577410,grizz_meister
1005530083887464448,393190233,LeahR77
1005530083887464448,966886033152344066,ClintonMSix141
1005530083887464448,2167674121,CarmineZozzora
1004557834665615360,1249982359,SenateMajLdr
1004755454742974464,167867714,joanryanEnfield
1003743312241659905,56792300,OsloFF
1003743312241659905,57041360,HRF
1004894060304363520,1915033663,davidhogg111
1004876770116452352,822215679726100480,POTUS
1005616972204085253,822215679726100480,POTUS
1005616972204085253,818948638890217473,RepMattGaetz
1005406742652440577,393757795,BillJohnson42
1005316056179617792,802263507597139968,StockholmCF
1004475456186408961,15438913,MailOnline
1004899206727782400,3995778614,KamVTV
1005673286510960640,471672239,KellyannePolls
1005673286510960640,25073877,realDonaldTrump
1005757678226849792,2205862450,MattLynchGB
1004146194325516288,364477412,CapitalOne
1004236541114269697,364477412,CapitalOne
1004236541114269697,75974281,SamuelLJackson
1005765460514746368,1864191372,romanhistory1
1005765460514746368,749348659,ATHE1STP0WER
1005299764479418368,284602545,WhoopiGoldberg
1005299764479418368,32004130,JoyVBehar
1005299764479418368,21258337,TheView
1004843531335172097,822215679726100480,POTUS
1004843531335172097,56561449,JesseBWatters
1005533057888051200,2596413645,carrieksada
1005533057888051200,933304401678049280,Roger51189854
1005533057888051200,869619261840535554,Celticanz
1005533057888051200,21148293,kathygriffin
1005533057888051200,1114631166,ConservaMomUSA
1005533057888051200,1931084401,RuthieRedSox
1005533057888051200,874636442290577410,grizz_meister
1005533057888051200,393190233,LeahR77
1004831443858739205,993768844052353024,afrinactivists
1005078801125126145,822215679726100480,POTUS
1002231771000393728,14511951,HuffPost
1002547888348467201,954124423,AmyMek
1002547888348467201,14511951,HuffPost
1005838829608165377,41778159,geertwilderspvv
1005838829608165377,125128723,RaheemKassam
1006268982511448066,123766327,SGarJ
1004682632943292418,4717892303,V_of_Europe
1004905569654800384,9300262,politico
1006472518587375616,878087280321335298,KaitMarieox
1006472518587375616,749348659,ATHE1STP0WER
1004774855856750592,22679783,UNRefugeeAgency
1004774855856750592,240598249,unhcr
1004774855856750592,202216517,UNHCRUSA
1005785598001545221,2596413645,carrieksada
1006657716885118976,1222616833,BrockLesnar
1006657716885118976,7517222,WWE
1005535432589873152,847735496633536512,KurdsCampaign
1005838182615695360,816086594230816768,HollyBuskirk1
1005838182615695360,2596413645,carrieksada
1005838182615695360,710666532913676289,jenBratts1206
1005838182615695360,428333,cnnbrk
1005838182615695360,476256944,SenFeinstein
1006182617853485057,26734130,CHoltonCSP
1006281427015512065,1658133414,ProKashmir
1006281427015512065,2274324816,Hamzabilal719
1006281427015512065,334680402,dr_rita39
1006281427015512065,4471463543,M_AHMAD884
1006281427015512065,839456702999113730,parlinaida
1006281427015512065,990583781537988610,MirMaria634
1006281427015512065,33519870,cjwerleman
1006281427015512065,2207990445,defencedotpk
1006281427015512065,352184105,pid_gov
1006418919198842880,17995040,benshapiro
1006431925131665408,17995040,benshapiro
1006708179550572544,420629175,kamilmamann
1006196623142277125,25159286,CENTCOM
1006196623142277125,2876420003,CJTFOIR
1006196623142277125,705039372429750272,coalition
1006196623142277125,69231187,UNHumanRights
1006426860148817921,860555190,NicolleDWallace
1006426860148817921,25073877,realDonaldTrump
1006477940010442752,759251,CNN
1006560088323051520,17995040,benshapiro
1007081857404493824,25073877,realDonaldTrump
1005859570265100288,216776631,BernieSanders
1006285649148895232,927249605296885761,OsoLouiVeil
