id,lang,text
991021374914400258,en,My friendships in recent years:      █　　     █　　   █　      █　　   █　      █　　    █　      █　     █　　 ＿ 2015　2016　2017　2018
991467883095056385,en,It’s about to be the summertime. People’s bonds will be tested. Just the way it is.
991468035939749893,en,"If we can’t make it through the summer, we can’t make it through anything https://t.co/3yNTPizHxf"
991467883095056385,en,It’s about to be the summertime. People’s bonds will be tested. Just the way it is.
991468035939749893,en,"If we can’t make it through the summer, we can’t make it through anything https://t.co/3yNTPizHxf"
991690772998062080,en,"Asked Hubby to make up the bed. This is what I got.  6'x 5' cloth on metal frame ""Domestic Bed Mauled By Wild Animals"" 2018 Donated by the artist. #crappyart https://t.co/77pDs9Sfns"
991716465060478977,en,"@marcorubio ""Marco Rubio walks back his walkback of his earlier walkback"""
991700800702418944,en,weird how a morbidly obese 71-year-old who never exercises and lives on a diet of junk food would want his medical records kept secret. we can only wonder what that's all about
991759255651979264,en,Why wear your heart on your sleeve when you can wear it on your head? Disney just unveiled a pair of Mickey Mouse ears specifically tailored for LGBTQ pride. https://t.co/DolnOpTyh0 https://t.co/56ekHi9mpX
991751968057167873,en,Dan Snyder is scum. absolute scum of the earth https://t.co/4MB1wO0y2t
991772314437148674,en,"@JudicialWatch Wonder how deep that one is burried. Obama probably sent that over to his library too, to protect for next 4 years."
991721393149698049,en,phs students watch out school cop behind the tennis court trying to get people 🤦🏽‍♀️
991772314466422787,en,Complained to a friend about complaining too much. Irony.
991763115573481473,en,Follow and worship @MsMorriganHel  @OWKreal @WomaniaEmpire @OWK_CASTLE @DOMINITY2 https://t.co/rsvducfXdL
991772314458099717,en,@Berti_and_Ernie truth and cute
991772314457997312,en,"Every time I upload an app to the App Store, this is the first Website I'm checking: https://t.co/u4wF8c3Ju1"
991772314470625280,en,@Fml01893052 @DeppresseDJack @RealSportsTaIk @1fredo @TylerWhite8 @Soslamy23 Never seen a guy that supposed to dominate like hulk ending up with the mental of humpty dumpty. This is really a first lmao
991772314474827777,en,"#kaching A new good project from an experienced team, it seems the guys have conceived something very interesting. I advise you to look #kachingcoins #kachingcoin  https://t.co/ameK597DdP"
991772314453921793,en,I dislike simple minded people .
991181689631264769,en,the holy trinity https://t.co/K8Q6Y3tTxm
991767240469987328,en,I’ve been feeling like I don’t vibe the same with anyone recently
992497457216008193,en,#Seahawks 2017 roster included....  Richard Sherman Jimmy Graham Michael Bennett Cliff Avril Paul Richardson DeShawn Shead Thomas Rawls Luke Willson Jeremy Lane Eddie Lacy  All of them are gone.
990781228239339521,en,"drunk girls at bars: ok, listen britney, it is britney right? ok listen britney. you. are a GODDESS. you're too good for any man. I love you and your cute top  drunk guys at bars: did you just fuckin breathe on me? fuckin breathe on me again bro gimme a reason to knock you out"
990569987915091968,en,SO much fun using my special girl @MissJadeJones and playing @EnglishMansion #nsfw #latex #transdom https://t.co/hVnnF7h4SL
992667807325270016,en,Follow everyone who Likes this 🍄
992668217788239874,en,@Crypto_Ed_NL It's been open for three days?
991772318652284928,en,Make your #job an awesome fit! Read about our opening in NY Personal Trainer - Kew Gardens Active https://t.co/Ko8xOVCrnm #Workout #Gym #Hiring #CareerArc
992668217788186626,en,Watch me being cute and chop chop everyone 🔪🔪🔪
992668217775570944,en,@labratofsociety Sho i'll be waiting
992668217779871744,en,@nadeemhaque @TalatHussain12 wants to give everything to Nawaz.
992668217804963840,en,@joeyvictor24 @Shonn71 I'm sure it was just coincidence.
991770739887009792,en,i would much rather someone shout abuse at me than be nice to me bc i get so awkward receiving compliments
991772318639771648,en,@Methuselah52 @CaroleAlways45 Truth is the hardest pill to swallow!!
991772318656589824,en,@DCFilmsHub @DCComics Harley and Titans!! Too bad it's US only though 😭
991738246861348864,en,"#BREAKING: @WSJ: Cambridge Analytica is shutting down, effective today. https://t.co/TFAurhO6sp"
991738498565705728,en,Cambridge Analytica will restart under a new name in 3..2..1 https://t.co/ZZL7jhILHQ
992664323595161600,en,That’s what happen when the light sticks’s battery is dead.... 🤦🏻‍♀️🤦🏻‍♀️   #EyesOnYouinSeoul  #PremiosMTVMiaw #MTVLAKPOPGOT7  #GOT7 @GOT7Official https://t.co/t6OzEAgSgO
991738246861348864,en,"#BREAKING: @WSJ: Cambridge Analytica is shutting down, effective today. https://t.co/TFAurhO6sp"
991738498565705728,en,Cambridge Analytica will restart under a new name in 3..2..1 https://t.co/ZZL7jhILHQ
