id,mentioned_id,mentioned_screen_name
992322028152778752,2291196909,Team4Nature300
992322028152778752,271844485,Glanusk
992322028152778752,26273960,PowysCC
992322028152778752,615136124,crickhowellhs
992322028152778752,4802925256,2minbeachclean
992322028152778752,615855679,ZilchUK
991772343818162176,99192543,rustyclanton
991772343813967872,1604444052,dodo
991772343813967872,1733467884,shoe0nhead
991788680632258565,2324464350,JayMFKay
991772322855088130,1731698046,mandellivaleria
991772322855088130,991320161264250882,naofoiootariano
991772322855088130,174739152,_GLopees
991772322855088130,2560360920,heytorlucas_
991772343822442497,928188490608775169,more_milf
991772343822442497,116503339,divaliciousuk
992684588173615104,370352303,footshooter77
992668247152455680,2446803739,Misogynerd
992016377132257280,3375660701,SeaOfThieves
991772347995774977,42426238,BrownManXav__
991739320112500745,250831586,TheRock
992664892598620160,1652541,Reuters
990802886262050818,842033575985782784,boxmining
991903176730099712,873664699262418946,Refereum
991903176742785024,214257117,THEBenWilhelm
991903176742785024,3435940588,PatriotMarie
991709133651918848,912161383839666176,ALDUB_POETweets
991709133651918848,717290403016286208,ALDub_RTeam
991709133651918848,772314299125469185,TropALDUB
991709133651918848,4857538864,AMInaticsOFC
991724160689754112,810640988481982464,Mye_Pixie
991724160689754112,3161163805,ALDubFTnQT
991724160689754112,841557254092410880,fthotladies
991724160689754112,725933014589399040,Arwen_Elfin
991724160689754112,2484284488,wengcookie
991724160689754112,485430836,Salvesayson
991724160689754112,3671269352,ricsl1600
991724160689754112,3272677566,montenegro_emil
991724160689754112,717290403016286208,ALDub_RTeam
992331828496224256,873115441303924736,weareoneEXO
990344676589748224,14401698,genesimmons
990344676589748224,1711406461,PaulStanleyLive
991788689029185536,14777649,LewisHowes
991755956659937282,2885885541,thestarwormwood
991755956659937282,405605548,ClarkeMicah
991824378080854016,2973499941,GeoffMiami
991824378080854016,20317002,browardpolitics
991824378080854016,115979444,DWStweets
991824378080854016,4735385897,Tim_Canova
991824378080854016,98992586,jimmy_dore
991824378080854016,19580890,LeeCamp
991786953224826881,3026606799,LinksAcross
991786953224826881,2778597049,JBAPT_DPCDSB
991788697388380160,3295904950,MrsMKillman
991755956664131585,109696076,HollyLewinski
992684596553695232,3019223910,porotatoe
991786953224826881,3026606799,LinksAcross
991786953224826881,2778597049,JBAPT_DPCDSB
991788697388380160,3295904950,MrsMKillman
991903180953829377,160065385,V1ndy_
