id,country_code,name,place_type
992701214369468416,GB,Oxford,city
991521739980132352,US,Tuscaloosa,city
991734504678219779,IE,Kildare,city
991089176769576961,US,Reno,city
992679358719504384,ZA,Sandton,city
991901127862992896,US,North Las Vegas,city
991805298464755713,US,Chester,city
991919853303881733,GB,Hillingdon,city
991919853304012800,US,Indiana,admin
992685011768836096,FR,Nantes,city
992685011768836096,FR,Nantes,city
991651328412663808,PH,Mandaluyong City,city
992685015967428608,GB,Richmond,city
992287354931957764,US,Chino,city
992287354931957764,US,Chino,city
992668637239631872,NL,Haarlem,city
992685015967334400,NG,Abuja,city
991772595493195777,GB,Wales,admin
991556876822372353,GB,Macclesfield,city
991746602791555073,US,Aspen Hill,city
991395978631495680,US,Los Angeles,city
992701239539351552,CA,Vancouver,city
991395978631495680,US,Los Angeles,city
991825346461949952,US,Kansas City,city
992339543545335808,ZA,Durban,city
991825346461949952,US,Kansas City,city
992339543545335808,ZA,Durban,city
992479682179166208,US,Albany,city
991805298477355013,US,Atlanta,city
991805298477355013,US,Atlanta,city
991903503911026688,US,Los Angeles,city
991910403746750464,US,Atascocita,city
942490599378341888,US,Dallas,city
942490599378341888,US,Dallas,city
991838005630590981,US,Kansas,admin
992228156995227649,US,Arlington,city
991903516481351680,US,Escondido,city
991805319423647745,US,Florida,admin
991838009841586176,US,Boardman,city
991903516481351681,US,Los Angeles,city
992622450973298691,US,San Antonio,city
991925554940014593,US,Las Vegas,city
991838014044360705,US,Austin,city
991706427373883392,US,Charlotte,city
991089176769576961,US,Reno,city
991706427373883392,US,Charlotte,city
991089176769576961,US,Reno,city
992376389415325696,KR,송파구,city
992105752721489920,ZA,Johannesburg,city
991561810200350720,US,Bishop O'Dowd High School,poi
991880529304670209,US,Oakland,city
992701260502618112,AM,Armenia,country
991772616452014081,PT,Maia,city
991756225103777792,US,St Petersburg,city
992701260498329601,US,Los Angeles,city
992226124540198913,US,Seattle,city
992268059833331712,IN,New Delhi,city
991838018238668800,US,Missouri,admin
990758996649828352,US,Boulder,city
992674733807185920,SG,North-East Region,admin
991306273168740352,US,Chicago,city
991836668989771776,US,Cleveland,city
991917502719496193,US,Langley Park,city
992668691757182976,US,Sanford,city
990951950895153155,US,Omaha,city
991903533266944002,AU,Wollongong,city
992409710643970048,PH,Cebu City,city
992668695959916544,AU,Melbourne,city
991772629022408704,US,Wisconsin,admin
992701273114750976,IN,India,country
991756237686571008,US,Iowa,admin
991489620549419008,US,Los Angeles,city
991549709369118720,US,Tallahassee,city
991489620549419008,US,Los Angeles,city
991662824035438592,GH,Kumasi,city
991805344593661952,US,Maine,admin
990917813429682176,US,Los Angeles,city
952979904554921984,US,Oxnard,city
991769104955535362,US,Oakland,city
991788928079450113,GB,Hull,city
991838034999037952,US,Missouri,admin
991805348792098816,US,Los Angeles,city
991838039201665024,PH,Makati City,city
991511359996268547,US,Georgia,admin
992690900240355328,GH,Kumasi,city
991772637427838977,US,Fort Myers,city
991427314931175425,US,Towson,city
991887070623711232,IN,Hyderabad,city
991489660705820672,US,Florida,admin
991489660705820672,US,Florida,admin
992628532680577024,US,College Station,city
991745720154804225,GB,Skewen,city
991887070627954689,US,Kansas City,city
991772637423693824,US,Club St. Louis,poi
991462958701203456,US,Houston,city
988263067321602048,US,Texas,admin
991604045562503168,CH,Geneva,city
991604045562503168,CH,Geneva,city
991919833313882112,IN,Hyderabad,city
991784668658794496,IT,Rome,city
992442103878815744,US,San Marcos,city
991636557428740096,US,San Jose,city
991821664643047424,US,Queens,city
991886729912074241,US,Missouri,admin
991805365556862976,US,Muskegon,city
991788944860868608,CA,"Colchester, Subd. B",city
991816633755815936,US,Wichita,city
991805365565181952,CA,Toronto,city
991804313243545600,US,Arizona,admin
991821664638918656,US,Liberal,city
942490599378341888,US,Dallas,city
992701306639933440,PK,Islamabad,city
991768749765251072,US,Valley Falls,city
991788949063569408,US,Cleveland,city
991768728055492610,US,Atlanta,city
991887083177312256,JP,福島市,city
991898467717955584,US,Culver City,city
991805373945450497,US,Manhattan,city
991821499135905792,US,Norman,city
984280397650378757,AU,Melbourne,city
